origin,topology,fusion,target_epsilon,seed,best_f1,spent_epsilon,best_acc
grid,horizontal,Intermediate,100.0,42,0.18124278054110568,113.11566008498193,0.8442584844258484
grid,horizontal,Intermediate,100.0,123,0.18671450653045915,113.11566008498193,0.8433286843328685
grid,horizontal,Intermediate,100.0,456,0.2005306247586266,113.11566008498193,0.8165969316596932
grid,horizontal,Intermediate,200.0,42,0.22682739636638022,229.77470882611834,0.8482101348210135
grid,horizontal,Intermediate,200.0,123,0.1951840655369973,229.77470882611834,0.8503021850302185
grid,horizontal,Intermediate,200.0,456,0.23482391941875733,229.77470882611834,0.8419339841933984
grid,vertical,Intermediate,100.0,42,0.15332702266214782,100.00619495417865,0.8344955834495583
grid,vertical,Intermediate,100.0,123,0.15353311511563122,100.00619495417865,0.8349604834960483
grid,vertical,Intermediate,100.0,456,0.15802005202205738,100.00619495417865,0.8616922361692236
grid,vertical,Intermediate,200.0,42,0.1720967462273436,200.0262957992552,0.8549511854951185
grid,vertical,Intermediate,200.0,123,0.1973409823169826,200.0262957992552,0.795908879590888
grid,vertical,Intermediate,200.0,456,0.16247932757896738,200.0262957992552,0.8528591352859135
grid,horizontal,Late,100.0,42,0.16616963481935795,113.11566008498193,0.6434216643421664
grid,horizontal,Late,100.0,123,0.16199586192056417,113.11566008498193,0.6701534170153417
grid,horizontal,Late,100.0,456,0.17827708808310241,113.11566008498193,0.7350069735006973
grid,horizontal,Late,200.0,42,0.2382808274443326,229.77470882611834,0.8098558809855881
grid,horizontal,Late,200.0,123,0.18262185052082372,229.77470882611834,0.8131101813110181
grid,horizontal,Late,200.0,456,0.22577494716726562,229.77470882611834,0.703858670385867
grid,vertical,Late,100.0,42,0.07185094219559565,100.00837204501508,0.8614597861459786
grid,vertical,Late,100.0,123,0.07109091708649667,100.00837204501508,0.8561134356113436
grid,vertical,Late,100.0,456,0.07116258046276601,100.00837204501508,0.8542538354253836
grid,vertical,Late,200.0,42,0.07197029178327458,200.0250171261059,0.8565783356578336
grid,vertical,Late,200.0,123,0.08145567985993517,200.0250171261059,0.8544862854486286
grid,vertical,Late,200.0,456,0.07212698378067826,200.0250171261059,0.8561134356113436
pegasus,horizontal,Intermediate,100.0,42,0.16361394022067774,113.11566008498193,0.7247791724779172
pegasus,horizontal,Intermediate,100.0,123,0.1921180892371045,113.11566008498193,0.7635983263598326
pegasus,horizontal,Intermediate,100.0,456,0.17943272526421522,113.11566008498193,0.7622036262203626
pegasus,horizontal,Intermediate,200.0,42,0.21175954722632054,229.77470882611834,0.8514644351464435
pegasus,horizontal,Intermediate,200.0,123,0.22811577280933104,229.77470882611834,0.8440260344026035
pegasus,horizontal,Intermediate,200.0,456,0.19725302803700273,229.77470882611834,0.7712691771269177
pegasus,vertical,Intermediate,100.0,42,0.1289089192081788,100.00619495417865,0.8503021850302185
pegasus,vertical,Intermediate,100.0,123,0.18474668032236224,100.00619495417865,0.8563458856345886
pegasus,vertical,Intermediate,100.0,456,0.14930659406352753,100.00619495417865,0.8503021850302185
pegasus,vertical,Intermediate,200.0,42,0.16782851355668088,200.0262957992552,0.8512319851231985
pegasus,vertical,Intermediate,200.0,123,0.20922785502662936,200.0262957992552,0.8500697350069735
pegasus,vertical,Intermediate,200.0,456,0.16565073319026216,200.0262957992552,0.8435611343561135
pegasus,horizontal,Late,100.0,42,0.1636300145889867,113.11566008498193,0.7205950720595072
pegasus,horizontal,Late,100.0,123,0.17335452872307294,113.11566008498193,0.7129242212924222
pegasus,horizontal,Late,100.0,456,0.19541017613283984,113.11566008498193,0.7071129707112971
pegasus,horizontal,Late,200.0,42,0.22941974853287256,229.77470882611834,0.8117154811715481
pegasus,horizontal,Late,200.0,123,0.17976082066425195,229.77470882611834,0.7877731287773129
pegasus,horizontal,Late,200.0,456,0.22585860999021395,229.77470882611834,0.6822408182240818
pegasus,vertical,Late,100.0,42,0.07186496960515393,100.00837204501508,0.8616922361692236
pegasus,vertical,Late,100.0,123,0.07053808182499273,100.00837204501508,0.8558809855880986
pegasus,vertical,Late,100.0,456,0.07130259957540737,100.00837204501508,0.8544862854486286
pegasus,vertical,Late,200.0,42,0.07183283763958923,200.0250171261059,0.8563458856345886
pegasus,vertical,Late,200.0,123,0.08145567985993517,200.0250171261059,0.8544862854486286
pegasus,vertical,Late,200.0,456,0.07212698378067826,200.0250171261059,0.8561134356113436
